reference,base_prediction
lagi pun murah je dekat Family Mart tu satu cup tu pun baru berapa pun kat situ pun ada Oden kan, lagi pun murah aja dia di fami mat 2 satu cup tu pun baru berapa pun kat situ pada ordan kan
kau pernah makan Oden, kau pernah makan odin
kalau aku, garam
aku suka kuih karipap dia macam karipap kan, aku suka kerika lipak dia cakap kerika lipak kan
tapi [UNK] tapi ada orang panggil [UNK] epok-epok, tapi ada orang panggil ibuibu
um hm aku suka dia ada dua inti macam biasa orang guna sardin, aku suka ada dua hinti macam biasa orang guna satin
dengan kentang tapi biasanya aku suka, ingin kentang tapi biasanya aku suka
sardin kalau ada kentang tu aku gigit tepi tepi dia aku buang, sajin kalau di kentang tu aku gigit tepi tepi dia aku buang
inti dia aku makan yang kosong je kalau selain daripada sardin lah, hint dia yang makan yang kosong kalau selain daripada sadin lah
sebab aku memang suka sardin, sebab aku emos ke sadin
hm dengan kuih seri muka sebab seri muka, dengan quest seri muka sebab seri muka
rupa dia sama je dengan kuih talam tapi dia punya texture tu, rupa dia sama je dengan kuih talam tapi dia punya teks tu
beza sikit lah tapi, beza sikit lah tapi
ha beza sebab dia warna hijau [UNK] kat atas putih kat bawah, beza sebabnya warna hijau atas putih di bawah
kalau aku kalau selain daripada makanan Melayu aku suka makanan India macam, kalau aku kalau selain daripada makanan melayu aku suka makanan india macam
maruku kalau orang sebut pasal maruku ni mesti orang tau kan maruku tu macam mana bentuk dia, maruku kalau orang sebut tentang maruku ni si orang tahu kan maruku tu macam mana dia bentuk dia
so selain daripada nama maruku tu orang panggil dengan nama chakli atau cakli, selain daripada nama ruku itu orang panggil dengan nama charly atau charly
ha itulah India, ha itulah india
dia, duhh
bahan dia guna buat maruku ni dia guna, dan dia guna buat baruku ni dia guna
urat dhal tepung kacang tosei [UNK] dan tepung beras, urad dal tepung kacang tusi dan tepung beras
dia bentuk bulatan, dia bentuk bulatan
berbentuk halus lah, pembentuk saya luslah
dia ada acuan khas dia lah untuk buat, dia ada acuan has dia lah untuk buat
macam tekan tepung yang dah diuli lepas tu cara pemutaran dia tu, mesutkan tepung yang dah diuli kemudian cara pengutaran dia
so aku suka lah makanan, so aku sukalah makan
maruku makanan India yang aku suka maruku tosei macam tu lah, maruku makanan indah yang aku suka maruku tosim itulah
dia pun banyak nama juga eh, dia pun banyak nama juga ae
macam ada kuah dia kan, macam dia kuah dia kan
tosei, terima kasih
memang sedap lah, dan saya akan beritahu dia
kau pernah makan putu mayam tak, kau pernah makan putum ayam tak
ah kalau aku aku suka lah sebab, kaya aku kusgulia sebab
aku tak payah nak keluar rumah cari sebab, aku tak payah nak keluar rumah cari sebab
setiap minggu, stemminggu
ah ada orang India ni dia pusing ah kat situ kat area kawasan rumah aku nanti dia [UNK] dia ada, ada orang minyak ni dia pusing yang keadaan kawasan rawaku nanti dia ada
cakap lah tosei eh putu mayam putu mayam dia jerit jerit so aku pergi lah beli, cakaplah tosie eh putumaya ada jajari so aku pergi beli
ni makanan tradisional India yang, ini makanan keadaan di sana india yang
dapat sambutan yang, dapat sabutan yang
ramailah sebab orang suka kalau kalau aku beli tu ramai je orang kat situ nak beli putu mayam, ramailah sebab orang suka kalau aku beli ramai orang ke stu nak pergi putus mayam
dia macam, dewa bacam
sedap lah, siddaplah
dia macam, di macam
dia macam, di mana awak
aku tak tau lah dia macam bulat lepas tu maybe dia letak, aku kalau ada macam bulat pasti mungkin ada dia tak
gula melaka tau dalam tu lepas tu ada, gula berlaku dalam tu pasal ada
kelapa kelapa, kelapa kelapa
ah so macam manis manis lemak lemak ah sedap ah, so macam manismanis lemaklemak sedap lah
kalau kau pun boleh try lah, kali aku boleh cuba
banyak je makanan yang aku pernah makan banyak je aku nak boleh bagi tau kau, banyak je makanan yang aku pernah makan banyak je aku nak beli bagi tahu kau
so kau selain daripada makanan India kau pernah makan, so selain daripada makanan india kau pernah makan
makanan yang dari luar negara macam China ke kau pernah tak macam selain daripada tu, maka yang dari luar negara macam china ke pernah tak macam selain daripada itu
makan, macam
um, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
makan di luar negara macam, macam ini yuk
okey mak-makcik aku pernah pergi Mekah, okey mak cakku pernah pergi meka
lepas tu dia macam dia pernah bawa balik satu coklat ni, kemudian dia pernah buat balik satu coklat ini
memang sedap memang sedap lah rasa dia unik sikit lah sebab dia macam, memang sedap memang sedap rasa unik sikit ya sebab dia macam
ada kismis kismis yang tu, ada kismi kismi dan tu
memang sedap lah dia yang bawa balik banyak banyak gila time tu dia bagi bagi kan lah family family family, memang sedap ada yang buat banyakbanyak gila tentu dia bagibagi kalah familyfamily
so memang sedap lah, jadi kita duduk di dalam
[UNK] ha tu je lah daripada, yaa tu je lah daripada
makanan yang aku pernah makan dari luar negara tu je lah, makanan ini aku pernah makan dari kita nak ke tu je lah
yang betul betul daripada [UNK] yang dia bawa balik lepas tu kita orang terus rasa, yang betulbetul dia perlu orang yang bawa balik patut kita dan terasa
memang sedap, mestu
makanan, nekanin
Cina, jina
makanan Cina, kanan cina
aku, aku
aku tak tahu apa [UNK] apa nama dia, aku tak tahu apa nama dia
yang macam time hari raya, terima kasih kerana menonton
dia macam letak macam dia macam mee lepas tu kita gaul ramai ramai tu, dia macam neta macam mi kita gawar ramairamai
ha aku pun, kubun
ha dia macam ramai ramai lepas tu kau ambil chopstick kau gaul gaul macam tu ah tu pun aku pernah makan sekali lah, dia macam ramairamai kemudian tu kau ambil cok shtik kau gawgawg macam tu nah tu pun aku pernah makan sekali lah
time tu macam, tentu macam
um kawan, im going
kawan bapa aku ada buat makan makan so kita orang join sekali buat benda tu, kawan bapak aku ada buat makanmakan jadi kita orang jujur sekali bapak itu
boleh lah ah sedap, bolehlah sedap
um dia macam rasa belacan dia banyak sayur dekat situ, dia macam rasa berbeda macam tapi dia baik sayur macam tu
so tu je, apa yang tu buat
cerita pasal makanan makanan yang aku pernah makan makanan, cerita tentang makanan yang aku pernah makan
kesukaan aku, keskain aku
[UNK] lagi bye, terima kasih bye
Fendi, hai b
oh, uuhh
tak ada la aku dah aku dah ni dah dah buat jadual dah lah lepas S P M aku nak buat apa, tak adalah aku dah buat jendual lah lepas spm aku nak buat apa
aku nak, akhirnya
aku nak kerja dulu sebelum dapat result, aku nak kerja dulu sebelum mendapat risal
ha ah, aduh
lagi pun boleh la buat [UNK] buat duit duit tangan ke kalau nak beli apa apa boleh tak payah la guna duit mak bapak en sebab dah besar pun kan, lagipun boleh lah buat duit tangan ke kalau nak beli apa pun boleh tak adalah guna duit mabapah kan sebab dah besar pun kan
ah belajar berdikari ah, baca beri kerja
aku nak kerja contoh kalau dah lepas S P M tu aku macam nak kerja ni la kedai makan, aku nak kerja contoh kalau dah lepas sk itu aku macam nak kerja nilah kediamakan
ataupun, atau pun
jadi, jali
part-time, bye time
part-time kerja, baiklah saya akan pergi
tukang jahit ke memasak ke, tukan jangit ke memasak ke
ha ah, haa
ah kalau [UNK] kalau selepas, kalau saya pasir
sambung belajar tu, sama umur aijatu
tu kerja lain, tu kijelain
ni macam kau nak kerja ni je, ni macam kena kerja ni je
untuk cari duit tangan ke duit, untuk ceritakan tangan ke duit
bayar hutang ke kalau ada hutang en, bayar utang ke keradu utangin
aku dengar kau hari tu macam kau berhutang dengan aku en kau tak nak bayar ke bila kau nak kerja, aku dengar kau hari itu macam kau buka tangan aku kan kau tak nak bayar aku bila kau nak kerja
kerja apa, kicabu
kerja basuh ayam eh, kami akan membuat masanya
kerja basuh ayam ke, kaju asal ayam weh
kerja basuh ayam, kami juga bersaim
oh bukan eh, oh keren
tak berfaedah ke kerja basuh ayam tu, tak berfaedah kekensi masanya tu
tak kerja jual lain kita jual ayam, tak ada juala yang kita juala yang
tak pasti, tafas tee
aku nak aku rasa dia part, aku nak agresif lepas
tapi, papi
tapi tapi apa, tapi tapi awak
tapi tapi biasanya aku [UNK] nak kerja kedai makan ah, tapi tapi payasnya aku nak kerja ke dia makan lah
mungkin, mungkin
ah untuk ni ke tambah apa, untuk ni tambah apa
tambah bukan pendapatan tambah pengalaman, tambah buka pendapatan tambah pengalaman
pengalaman, panganaman
ataupun kerja jadi ni ke, atau kerja jadi ni ke
ah kerja dekat jadi cashier ke, ah kujudka jaliknya siuk
kejap, selamat tinggal
ataupun kerja kedai handphone ke baiki boleh boleh bagi phone nanti, atau kerja kena telefon kebaki boleh beri telefon nanti
ha ah tak payah beli baru macam jimat la kos en nak keluar duit lagi, haa tak ada ni baru macam cimat lah kerana nak keluar duit lagi
haah, oh
so duit yang lain tu boleh la buat macam, sudut lain itu boleh lah buat macam
beli lain yang macam daripada betulkan phone betulkan phone dah la kos dia mahal, benda lain yang macam daripada betulkan phone betulkan phone adalah kosgm
lagi lagi kalau L C D rosak ke, lagi lagi kalau rcd rosa ke
ah kau [UNK] ah kau punya kerja, kau dan kau punya kerja
kau nak cari kedai eh tadi kau cerita kau nak kerja apa tadi, kau nak cakap tadi kacita kena kejabat tadi
kerja dengan bapa kau ah bapa kau kan ada syarikat en, kejangan bapak kau bapak kau kan ada sedikit kan
syarikat apa kapal, serika apa kapan
jadi je la ni, jadilah ini
pak guard ke kau tak nak ke fikir jadi pak guard ke, pak gat ke kau tak nak ke fikiran pak gat ke
ke tak fikir ke ah lagi satu aku pun terfikir juga macam ni aku nak jual kek batik kek batik aku kan sedap, aku tak fikir ke ah dan satu aku pun terfikir kek macam ni aku nak jual kek batik kek batik aku kan sedap
harga masa [UNK], hai tu mas beskod
ha ah aku terfikir juga kat situ, haa aku tawar juga ni situ
boleh la buat duit, boleh lah buat duit
duit duit tolong mak aku ke, 2 duit tolong mak aku ke
tolong mak aku ke, duronglah aku ke
family aku kalau ada macam dia orang tak cukup duit ke susah ke, femilii aku kalau ada macam dia orang tak cukup duit ke susah ke
lagi satu nanti ni lah ah, nek saya tawarkan diri
kalau ada ni aku boleh la belanja kau orang, kalau ada ni aku wait lepas ini korang
kalau aku dah kerja nanti aku boleh la belanja member member aku, kalau aku lihat kecil nanti aku boleh dah bantu meminbakku
makan ke, makan dulu
jalan, ya remy
jalan-jalan, jalanjalan
ah, oh
[UNK] ah ah, aa
aku nak sambung belajar dekat ni je S T P M form six, aku nak sambung balik jelaka ini dia stpm form 6
boleh juga sebab bolehlah ni apa, boleh juga sebab boleh lah ni apa
sekali la macam sebab dia belah, sekali dah macam sebab dia belas
dia kan ada hari [UNK] ada time cuti dia kan cuti minggu ke, dia kan ada tim cuti dia kan cuti minggu ke
time tu bolehlah aku kerja, tentu boleh lagu keju
ha ah, uh oh
lagi satu bolehlah simpankan duit duit untuk masa depan ke, satu boleh lah simpan dan duit untuk masa depan ni
nak kahwin, nakawee
ha ah, uh
betul, kau terlalu
kan tadi aku nak cerita kat engkau yang aku nak oh aku nak kerja apa kalau, kata yang kena cerita ke kau yang aku nak oh aku nak pergi japa kalau
oh lepas result aku [UNK] aku rasa macam nak sambung, all perizer kluayu akresnya macam nak sambung
aku nak kerja, agar kita
em aku nak kerja dekat ni ah, hmm aku nak kerjakan ya
aku nak masuk multimedia, aku nak masuk multimedia
lepas aku ambil, lepas aku ambil ya
ha ah, haaah
bahagian photographer, bagi fotografi
mana tau boleh dapat duit lagi banyak ke dari jual kek batik, manilatang boleh dapat duit lagi banyak kena ri jual kebatik
cuma kos kat situ [UNK], cuma kasi tu
di [UNK] ah, ini
sebab, seba
ha ah ya lah, yelak
ah itu pun untuk duit bayar ni juga P T P T N ke kan, itu pun untuk duit bayar ni juga ptptn kan
so tak ada lah macam nak, so tak adalah macam nak
ha ah, haa
alang-alanglah [UNK] kalau ada time kosong tu, ayo jelaskan kalau ada tim 0 itu
bolehlah ni apa ah, bolehlah ni apa aa
penuhkan masa ke, pindukan masyir ke
dari [UNK], dari malim
buang masa, buang mas
kau lepas ah dapat result U tu kau nak dapat ijazah ke, kau lepas dapat ijazak itu kena dapat ijazak ke
kau nak kerja apa pula, kau nak kerja bulat
spend masa, terima kasih
oh, oh
aku paling [UNK], aku pun yang gagal
habis nanti kau nak bayar macam mana, abil nanti kena bayang macam mana
takkan duit, takkan duit
ha ah, oh
bayar hutan P T P T N, banyak utang bintang bintang
lima ribu ke atas eh, di beli buka itu he
oh, hmm
wow hebat, wow hewin
eh em ah, ah
eh hari tu ni kan Izi jual burger kan, hei hari tu ni en easy to dwell berkelep
dekat depan rumah dia, nekak depan rumah dia
kau dah rasa belum kedai kau dah rasa belum kedai ah burger dia, kau dah rasa belum kau dah rasa belum kau dah rasa begitu
tak ingat, tapi ini
ha ah, haa
tapi, tapu
tapi tu lah dia kena cari tempat yang strategik ah macam dekat depan kedai makan ke baru ramai kan, tapi itulah dia kena cari tempat yang strategi r macam dekat depan gede makan ke baru rambut kan
ni lagipun dekat kampung-kampung kan, ini lagi pun dekat dalam berkampungan
orang orang pun ramai dah berumur, orang pernah main bumu
macam mana ah ya lah kuranglah, macam mana jila kurang
ya lah, yalah
ha ah, uh oh
eh kakak engkau sekarang kerja apa kan dia baru lepas habis S P M, eh kakak kau sekarang kerja apa kan dia baru lepas abis pm
oh sambung matrik eh, oleh saya akan beri dia
em, hmm
oh dapatlah upah, oh dapat lah upa
ah, uhhh
bapak [UNK], bapak
kakak aku sekarang, kaga aku sekarang
kakak aku yang mana kakak aku ada banyak ramai, kakakku yang mainan kakakku ada banyak ramai
oh kakak aku yang first tu dia kerja kerani, oh kakak kaya fes tu dia kerja kerani
dekat dekat dekat sini juga dekat nilah Johor Jaya Ros Merah, dekat sini lah jejea
kerani kedai, kami kedat
ha ah, aung
yang nombor dua, ya nomor dua
nombor dua sekarang dia tengah sambung belajar lagi dia tak kerja, nombor 2 sekarang dia tengah sambung belajar lagi dia tak kerja
nombor tiga dia dah kahwin ah dia kerja dekat dia kerja jadi peniaga macam, nombor 3 dia dah kahwin dia kerja jadi penyayaga macam
peniaga burger, perni lagi bagaimana
lepas tu isteri dia, lepas itu isi ini
kerja jual, kedidual
ah ni lah macam western punya food tapi C O D punya macam guna bekas, nilah macam western punya food tapi cod punya macam guner berkast
ah dia kerja ni, di kerja ni
jual burger, jangan berguruh
ka- kadang dia ah ka- kadang ah ha, kaga ada
macam ni lah sebab hari tu P K P kan ni, macam inilah sebab hari tu pkp kan ni
kena dia ah, kena dia
yang kat Singapore tu dia kat syarikat kat kat Singapore tu dia kata nak stay Johor ke, yang di singapore itu kat di singapore itu kat nak stadia hawker
Singapore, sampai jumpa
lepas tu dia kata stay Johor, hepa suiti kat sini joh
so macam means dia kena berhenti ah kerja dekat Singapore so dia, so macam dia kena berhenti kerja di singapore so dia
so dia [UNK] so sekarang ni dia jual burger je lah, so dia skr so skr jual bagi jenah
yang nombor empat, yang dihombong 4
ha ah, oh
nombor empat kakak aku juga, nombor buat kakak kau juga
dia tak kerja dia sambung belajar eh dia baru habis ah belajar, dia tak uji dia simul belajar eh dia baru habis belajar
ha ah sambung belajar dia tak pernah lagi ambil oh, semula jah dia tak pernah lagi ambil aw
dia tak pernah lagi kerja, di tak pernah lagi kerja
dia kalau macam ada sem ke dia duduk rumah je tolong mak aku bung- kadang kadang ah goreng, kalau ada sam atau dia di rumah tolong aku bukan yang goreng
kuih siput baru kan mak aku kan kerja ni jadi, kuesiput mak kukang kerja ni jadi
ni ah jual kuih, ni aa jelkui
ha ah, uh uh
mak kau tak kerja eh, makak dah kerja ya
oh tahu [UNK], oh itu baginda
sedap tak, sedap lah
hari tu aku dah aku dah try satu ah aku macam nak beli lagi lah, hari itu aku nak aku nak teri satu aku macam nak bina gila
ha tahu promote kan je dapat kredit tak, tengok tengok berumurkan saja nampak kredit tak
em okey ah tu, hmmmm apa yang ada
lagi pun murah kan, ibu mula men
aku tolong promote kan ni je kakak aku pun kan kakak aku yang first tu pun dia ada macam, aku tolong promote kan kakak aku bukan kakak aku yang fesufesu pun dah ada macam
berniaga online juga dengan mak aku, bernyaga online ga dengan mak aku
jual, jualu
ah tolong lah sekali, atau lunglah sekali
alang alang, alah alah
ah, aaaaah
oh kau nak beli motor, bukannya ini motor
gemaran eh, kemarin eh
aku macam nak cari duit nak cari duit sekejap untuk, aku macam nak cik duit cik duit yuja untuk
