reference,base_prediction
em mula-mula aku pilih, mulamula aku pilih
makanan tu, maka rentu
apa nama dia beef, apa nama dia beef
plater tapi mahal lah sikit, later tapi mahal lah sikit
harga dia seratus sembilan belas, harga rm11900
em, hmm
dia daging tu dia potong nipis-nipis je memang rasa dia, daging tu dia kuatkan nipisnipis je membuat rasa
[UNK] membuatkan, cukup buatkan
aku malam tidur dengan lena, aku malam tidur dengan lena
pas tu aku makan, lepas tu aku makan
Chan Chan Chicken, chon chon chicken
lima puluh sembilan ringgit kat situ memang mahal mahal lah tapi memang, rm59 itu memang mahal lah tapi memang
puas hati memang sedap gila, puas hati masih sedap gila
macam, macam
aku [UNK] aku tak pandai nak masak masakan Korea ni just aku beli je dekat macam dekat area rumah aku ni dekat dengan, aku tak pandai nak masak masakan korea ni just aku beli je dekat macam dekat rumah aku ni dekat dengan
Family Mart kat situ kan ada juga, family mike kat situ kan ada juga
makanan-makanan Korea macam ramen, makananmakanan boleh macam ramen
lepas tu aku beli lah aku, lepas tu aku belilah aku
suka green tea so aku beli lah [UNK] kadang aku beli green tea dengan ramen, suka green tea so aku belilah kadang aku beli green tea dengan ramen
dengan dia punya kimbap tu semua, dengan dia punya kimbab tu semua
so memang aku try memang sedap lah itu pun simple tapi, so memang tu je lah yang sedap lah tu pun simple tapi
lagi pun murah je dekat Family Mart tu satu cup tu pun baru berapa pun kat situ pun ada Oden kan, lagipun murah je dekat family mart tu satu cup tu pun baru berapa pun kat situ pun ada ordan kan
kau pernah makan Oden, kau pernah makan odin
kalau aku, terima kasih kerana menonton
aku suka kuih karipap dia macam karipap kan, aku suka kuih kalipap dia cakap kalipap kan
tapi [UNK] tapi ada orang panggil [UNK] epok-epok, tapi ada orang panggil ipuipu
um hm aku suka dia ada dua inti macam biasa orang guna sardin, aku suka dada dua yenti macam biasa orang guna satin
dengan kentang tapi biasanya aku suka, dengan kentang tapi biasanya aku suka
sardin kalau ada kentang tu aku gigit tepi tepi dia aku buang, sajin kalau ada kentang tu aku gigit tepitepi dia aku buang
inti dia aku makan yang kosong je kalau selain daripada sardin lah, hinti dia aku makan yang kosong je kalau selain daripada sadin lah
sebab aku memang suka sardin, sebab aku memang suka sadin
hm dengan kuih seri muka sebab seri muka, dengan kuih seri muka sebab seri muka
rupa dia sama je dengan kuih talam tapi dia punya texture tu, rupa dia sama je dengan kuih talam tapi dia punya tekstur tu
beza sikit lah tapi, busy sikit tak tapi
ha beza sebab dia warna hijau [UNK] kat atas putih kat bawah, haa beza sebab tu warna hijau kat atas putih kat bawah
kalau aku kalau selain daripada makanan Melayu aku suka makanan India macam, kalau aku kalau selain daripada makanan melayu aku suka makanan india macam
maruku kalau orang sebut pasal maruku ni mesti orang tau kan maruku tu macam mana bentuk dia, maruku kalau orang sebut pasal maruku ni mesti orang tahu kan maruku tu macam mana bentuk dia
so selain daripada nama maruku tu orang panggil dengan nama chakli atau cakli, so selain daripada nama ruku tu orang panggil dengan nama cakli atau cakri
ha itulah India, haa itulah india
dia, dia
bahan dia guna buat maruku ni dia guna, bahan dia guna buat maruku ni dia guna
urat dhal tepung kacang tosei [UNK] dan tepung beras, urat dal tepung kacang tosir dan tepung beras
dia bentuk bulatan, dia bentuk bulatan
berbentuk halus lah, berbentuk halus lah
dia ada acuan khas dia lah untuk buat, dah ada acuan khas dia lah untuk buat
macam tekan tepung yang dah diuli lepas tu cara pemutaran dia tu, macam tekan tepung yang dah diuli lepas tu cara pemutaran dia tu
so aku suka lah makanan, so aku suka lah makan dengan
maruku makanan India yang aku suka maruku tosei macam tu lah, maruku makanan yang aku suka maruku dosim
dia pun banyak nama juga eh, dia pun banyak nama juga eh
macam ada kuah dia kan, bincang dengan kuah dia kan
tosei, terima kasih
memang sedap lah, masak tak lah
kau pernah makan putu mayam tak, kau pernah makan putih mayam tak
ah kalau aku aku suka lah sebab, oh kaya aku aku suka dah sebab
aku tak payah nak keluar rumah cari sebab, aku tak payah nak keluar rumah cari sebab
setiap minggu, stemingu
ah ada orang India ni dia pusing ah kat situ kat area kawasan rumah aku nanti dia [UNK] dia ada, ada orang india ni dia pusing lah kat situ kat area kawasan waku nanti dia ada
cakap lah tosei eh putu mayam putu mayam dia jerit jerit so aku pergi lah beli, cakap lah tose eh putu maya putu maya so aku pergilah beli
ni makanan tradisional India yang, ni makanan tradisional india yang
dapat sambutan yang, dapat sambutan yang
ramailah sebab orang suka kalau kalau aku beli tu ramai je orang kat situ nak beli putu mayam, ramailah sebab orang suka kalau aku beli tu ramai je orang ke situ nak beli putung ayam
dia macam, dia macam
sedap lah, sedap lah
dia macam, di macam
dia macam, terima kasih
aku tak tau lah dia macam bulat lepas tu maybe dia letak, aku tak boleh dia macam membulat lepas tu maybe dia letak
gula melaka tau dalam tu lepas tu ada, gula melaka tau dalam tu lepas tu ada
kelapa kelapa, kelapakelapa
ah so macam manis manis lemak lemak ah sedap ah, so macam manismanis lemaklemak sedap lah
kalau kau pun boleh try lah, kalau kau pun boleh try lah
banyak je makanan yang aku pernah makan banyak je aku nak boleh bagi tau kau, banyak je makanan yang aku pernah makan banyak je yang aku nak boleh bagitahu kau
so kau selain daripada makanan India kau pernah makan, so kau selain daripada makan india kau pernah makan
makanan yang dari luar negara macam China ke kau pernah tak macam selain daripada tu, makanan yang dari luar negara macam china ke kau pernah tak macam selain daripada tu
makan, makan
um, hmm
makan di luar negara macam, makan ni dia orang yang ada macam
okey mak-makcik aku pernah pergi Mekah, okay macam aku pernah pergi mekah
lepas tu dia macam dia pernah bawa balik satu coklat ni, lepas tu dia macam dia pernah bawa balik satu coklat ni
memang sedap memang sedap lah rasa dia unik sikit lah sebab dia macam, memang sedap memang sedap lah rasa dia unique sikit lah sebab dia macam
ada kismis kismis yang tu, ada kismikismi dalam tu
memang sedap lah dia yang bawa balik banyak banyak gila time tu dia bagi bagi kan lah family family family, memang sedap dia yang bawa balik banyak banyak gila tentu dia bagibagikan lah family ni family ni family ni
so memang sedap lah, so memang sedap lah
[UNK] ha tu je lah daripada, haa tu je lah daripada
makanan yang aku pernah makan dari luar negara tu je lah, makanan yang aku pernah makan dari biar kat tu je lah
yang betul betul daripada [UNK] yang dia bawa balik lepas tu kita orang terus rasa, yang betulbetul daripada orang yang dia bawa balik lepas tu kita orang terasa
memang sedap, masih dah
makanan, maka nanti
Cina, cina
makanan Cina, makanan cina
aku, aku
aku tak tahu apa [UNK] apa nama dia, aku tak tahu apa nama dia
yang macam time hari raya, dua macam time hari raya
dia macam letak macam dia macam mee lepas tu kita gaul ramai ramai tu, dia macam letak dia macam mie lepas tu kita gaul ramairamai
ha aku pun, aku pun
ha dia macam ramai ramai lepas tu kau ambil chopstick kau gaul gaul macam tu ah tu pun aku pernah makan sekali lah, dia macam ramairamai lepas tu kau ambil chopstick kau gaugau macam tu tu pun aku pernah makan sekali lah
time tu macam, time tu macam
um kawan, kau berenang
kawan bapa aku ada buat makan makan so kita orang join sekali buat benda tu, kawan bapak aku ada buat makanmakan so kita orang join sekali buat benda tu
boleh lah ah sedap, boleh lah sedap
um dia macam rasa belacan dia banyak sayur dekat situ, dia macam rasa dia banyak sayur kat situ
so tu je, tu je
cerita pasal makanan makanan yang aku pernah makan makanan, cerita pasal makanan yang aku pernah makan
kesukaan aku, kesukaan aku
[UNK] lagi bye, terima kasih bye
Fendi, hai di
oh, oh
tak ada la aku dah aku dah ni dah dah buat jadual dah lah lepas S P M aku nak buat apa, tak adalah aku dah ni dah buat jadual lah lepas spm aku nak buat apa
aku nak, akurah
aku nak kerja dulu sebelum dapat result, aku nak kerja dulu sebelum dapat result
ha ah, haa
lagi pun boleh la buat [UNK] buat duit duit tangan ke kalau nak beli apa apa boleh tak payah la guna duit mak bapak en sebab dah besar pun kan, lagipun boleh lah buat duit buat duit duit tangan ke kalau nak beli apaapa boleh tak payah lah guna duit bapabapa kan sebab dah besar pun kan
ah belajar berdikari ah, belajar berdikari
aku nak kerja contoh kalau dah lepas S P M tu aku macam nak kerja ni la kedai makan, aku nak kerja contoh kalau dah lepas spm tu aku macam nak kerja ni lah kedai makan
ataupun, ataupun
jadi, jadi
part-time, pertama
part-time kerja, parttime kerja
tukang jahit ke memasak ke, tukang jahit ke masak ke
ha ah, haa
ah kalau [UNK] kalau selepas, kalau kalau selepas
sambung belajar tu, sambung belajar tu
tu kerja lain, tuker jelai
ni macam kau nak kerja ni je, ni macam kena nak kerja ni je
untuk cari duit tangan ke duit, untuk cari duit tangan ke duit
bayar hutang ke kalau ada hutang en, bayar hutang ke kalau ada hutang kan
aku dengar kau hari tu macam kau berhutang dengan aku en kau tak nak bayar ke bila kau nak kerja, aku dengar kau hari tu macam kau buka tangan aku kan kau tak nak bayar ke bila kau nak kerja ni
kerja apa, kejap abu
kerja basuh ayam eh, kecil masai yang
kerja basuh ayam ke, kacau pasal ayam ke
kerja basuh ayam, kejima saiyam
oh bukan eh, oh kelihatan
tak berfaedah ke kerja basuh ayam tu, tak berfaedah ke kecil mbak sayam tu
tak kerja jual lain kita jual ayam, tak kerja jualan yang kerja jualan yang
tak pasti, tak faham siiii
aku nak aku rasa dia part, aku rasa lepas
tapi, tapi
tapi tapi apa, tapi tapi apa
tapi tapi biasanya aku [UNK] nak kerja kedai makan ah, tapi tapi pasal aku nak kerja kedai makan lah
mungkin, mungkin
ah untuk ni ke tambah apa, untuk ni ke tambah apa
tambah bukan pendapatan tambah pengalaman, tambah buka pendapatan tambah pengalaman
pengalaman, pengalaman
ataupun kerja jadi ni ke, ataupun kerja jadi ni ke
ah kerja dekat jadi cashier ke, ha kerja dekat dedication ke
kejap, good job
ataupun kerja kedai handphone ke baiki boleh boleh bagi phone nanti, atau kerja kedai handphone ke boleh bagi handphone nanti
ha ah tak payah beli baru macam jimat la kos en nak keluar duit lagi, haa tak ada yang baru macam jimat lakos kan nak keluar duit lagi
haah, haa
so duit yang lain tu boleh la buat macam, sudut yang lain tu boleh lah buat macam
beli lain yang macam daripada betulkan phone betulkan phone dah la kos dia mahal, benda lain yang macam daripada butuhkan phone butuhkan phone dah lah kursus dia mahal
lagi lagi kalau L C D rosak ke, lagilagi kalau lcd rosak ke
ah kau [UNK] ah kau punya kerja, kau tak nak kau punya kerja
kau nak cari kedai eh tadi kau cerita kau nak kerja apa tadi, korang cari kedai eh tadi kau cerita kau nak kerja apa tadi
kerja dengan bapa kau ah bapa kau kan ada syarikat en, kerja dengan bapak kau lah bapak kau kan ada syarikat kan
syarikat apa kapal, serikat apa kapan
jadi je la ni, jadi lah ni
pak guard ke kau tak nak ke fikir jadi pak guard ke, pak gad ke kau tak nak ke fikir dari pak gad ke
ke tak fikir ke ah lagi satu aku pun terfikir juga macam ni aku nak jual kek batik kek batik aku kan sedap, aku tak fikir ke haa lagi satu aku pun terfikir ke macam ni aku nak jual kek batik kek batik aku kan sedap
harga masa [UNK], hai tu masa biskut
ha ah aku terfikir juga kat situ, haa aku terfikir jugak dari situ
boleh la buat duit, boleh lah buat duit
duit duit tolong mak aku ke, duitduit tolong mak aku ke
tolong mak aku ke, tolong mak aku ke
family aku kalau ada macam dia orang tak cukup duit ke susah ke, family aku kalau ada macam dia orang tak cukup duit ke susah ke
lagi satu nanti ni lah ah, dari satu nanti ni lah
kalau ada ni aku boleh la belanja kau orang, kalau ada ni aku boleh dah belanja korang
kalau aku dah kerja nanti aku boleh la belanja member member aku, kalau aku dah kerja nanti aku boleh dah belanja membermember aku
makan ke, makan ke
jalan, jalanjalan
jalan-jalan, jenisjenis lain
ah, oh
[UNK] ah ah, aa
aku nak sambung belajar dekat ni je S T P M form six, aku nak sambung belajar dekat ni je stpm form 6
boleh juga sebab bolehlah ni apa, boleh jugak sebab boleh lah ni apa
sekali la macam sebab dia belah, sekalilah macam sebab dia belas
dia kan ada hari [UNK] ada time cuti dia kan cuti minggu ke, dia kan ada time cuti dia kan cuti minggu ke
time tu bolehlah aku kerja, tentu boleh laku kerja
ha ah, haa
lagi satu bolehlah simpankan duit duit untuk masa depan ke, biasa tu boleh lah simpan kan duit untuk masa depan ni
nak kahwin, nakalui
ha ah, oh
betul, betul
kan tadi aku nak cerita kat engkau yang aku nak oh aku nak kerja apa kalau, kata ni aku nak cerita ke kau yang aku nak oh aku nak kata apa kalau
oh lepas result aku [UNK] aku rasa macam nak sambung, oh lepas rezak keluar you aku rasa macam nak sambung
aku nak kerja, aku nak kerja
em aku nak kerja dekat ni ah, hmm aku nak kerja dekat ni lah
aku nak masuk multimedia, aku nak masuk multimedia
lepas aku ambil, lepas akan berada
ha ah, haa
bahagian photographer, bayi yang fotografi
mana tau boleh dapat duit lagi banyak ke dari jual kek batik, mereka tahu boleh dapat duit lagi banyak ke dari jual kit batik
cuma kos kat situ [UNK], cuma kau kat situ
di [UNK] ah, diserah
sebab, sebab
ha ah ya lah, ialah
ah itu pun untuk duit bayar ni juga P T P T N ke kan, itu pun untuk duit bayar ni juga ptptn ke kan
so tak ada lah macam nak, so tak adalah macam nak
ha ah, haa
alang-alanglah [UNK] kalau ada time kosong tu, hilanghilang lah kalau dia time kosong tu
bolehlah ni apa ah, boleh lah ni apa
penuhkan masa ke, pernahkah mahasiswa
dari [UNK], jadi melip
buang masa, buang masa
kau lepas ah dapat result U tu kau nak dapat ijazah ke, kau lepas dapat result you tu kau nak dapat ijazah ke
kau nak kerja apa pula, kau nak kejar apa pula
spend masa, terima kasih
oh, oh
aku paling [UNK], aku paling gagal
habis nanti kau nak bayar macam mana, habis nanti kau nak bayar macam mana
takkan duit, takkan duit
ha ah, oh
bayar hutan P T P T N, bayar hutang
lima ribu ke atas eh, 5000 kaitan eh
oh, terima kasih
wow hebat, wow hei witt
eh em ah, ah
eh hari tu ni kan Izi jual burger kan, eh hari tu ni kan izu jual burger kan
dekat depan rumah dia, dekat depan rumah dia
kau dah rasa belum kedai kau dah rasa belum kedai ah burger dia, kau dah rasa belum kedai bergeda
tak ingat, tengok ini
ha ah, haah
tapi, tapi
tapi tu lah dia kena cari tempat yang strategik ah macam dekat depan kedai makan ke baru ramai kan, tapi tu lah dia kena cari tempat yang strategik lah macam dekat depan kedai makan ke baru ramai kan
ni lagipun dekat kampung-kampung kan, ni lagi pun dekat dalam perkabungan
orang orang pun ramai dah berumur, orang pun yang dah bua
macam mana ah ya lah kuranglah, macam mana jilat kurang lah
ya lah, yalah
ha ah, haa
eh kakak engkau sekarang kerja apa kan dia baru lepas habis S P M, eh kakak kau sekarang kerja apa kan dia baru lepas habis pm
oh sambung matrik eh, oleh itu saya akan beritahu anda
em, hmm
oh dapatlah upah, oh dapat lah upah
ah, aaah
bapak [UNK], bapak
kakak aku sekarang, karak aku sekarang
kakak aku yang mana kakak aku ada banyak ramai, kakak aku yang mana kakak aku ada ramai
oh kakak aku yang first tu dia kerja kerani, oh kakak kau yang fos tu ada kerja kerani
dekat dekat dekat sini juga dekat nilah Johor Jaya Ros Merah, dekat sini lah dekat ni lah jayajaya rose merah
kerani kedai, kerani kedai
ha ah, haa
yang nombor dua, yang nombor 2
nombor dua sekarang dia tengah sambung belajar lagi dia tak kerja, nombor 2 sekarang dia tengah sambung belajar lagi dia tak kerja
nombor tiga dia dah kahwin ah dia kerja dekat dia kerja jadi peniaga macam, nombor tiga dia dah kahwin dia kerja jadi peniaga macam
peniaga burger, penyagi burger
lepas tu isteri dia, lepas tu isteri dia
kerja jual, keduduan
ah ni lah macam western punya food tapi C O D punya macam guna bekas, ni lah macam western punya food tapi cod punya macam guna bekas
ah dia kerja ni, dia kerja ni
jual burger, jual burger
ka- kadang dia ah ka- kadang ah ha, kegadang kegadang
macam ni lah sebab hari tu P K P kan ni, macam ni lah sebab hari tu pkp kan ni
kena dia ah, kini dia
yang kat Singapore tu dia kat syarikat kat kat Singapore tu dia kata nak stay Johor ke, yang kat singapura tu dia kat singapura tu dia kata nak stage of hawker
